text,relation
"PKB directly phosphorylates DAF-16 / FOXO and this results in nuclear exclusion and therefore reduced DAF-16 / FOXO transcriptional activity    ,    .",1
"PKB directly phosphorylates DAF-16 / FOXO and this results in nuclear exclusion and therefore reduced DAF-16 / FOXO transcriptional activity    ,    .",1
The fact that Tax1 interacts with ATFx adds another level of complexity since this factor represses Tax1 mediated LTR activation .,0
Nuclear import and export of Tax1 are both carrier and energy independent but relies on the interaction between Tax1 and the p62 nucleoporin .  This interaction is mediated by the aminoterminal zinc-finger motif of Tax1 .,0
"NF-kappaB activation involves phosphorylation of IkappaB inhibitors by the IkappaB kinase ( IKK ) , which triggers their ubiquitination and subsequent proteasomal degradation , resulting in nuclear translocation of NF-kappaB dimers .",0
SUV39H1 interacts with Tax1 and represses Tax1 mediated transactivation of the LTR .,1
IKKalpha then phosphorylates the C-terminal region of p100 leading to subsequent processing of the p100 and RelB complex into p52 and RelB and its translocation into the nucleus .,1
"After binding of an agonist , the activated GPCR induces an exchange of GDP to GTP on the Galpha subunit and facilitates the dissociation of GTP bound Gbetagamma and Galpha subunits .",1
D ) Downregulation of PPP1CA inhibits p53 induced pRb hypophosphorylation .,0
"It was shown that filipin prevented constitutive and EGF stimulated phosphorylation of Akt1 , explaining its ability to induce apoptosis and prevent EGF mediated survival .",0
"Furthermore , another study showed that caveolin binds to c-Src , although it will not bind mutationally activated v-Src .",0
"However , PLCgamma phosphorylation by the EGFR was not decreased upon cholesterol depletion , suggesting that the EGFR can still activate PLCgamma when it is delocalised from caveolae .",0
"Further support came from Ushio-Fukai et al. , who found that depletion of cholesterol enhanced EGF mediated autophosphorylation of the EGFR .",0
"In addition , there is evidence that the PI3K and Akt pathway is localised to rafts , as cholesterol depletion prevented EGF induced phosphorylation of Akt .",0
"They also demonstrated that TrkA interacted with caveolin-1 , as did p75 NTR , and an in vitro kinase assay indicated that caveolin-1 inhibited NGF induced TrkA autophosphorylation .",0
"They also demonstrated that TrkA interacted with caveolin-1 , as did p75 NTR , and an in vitro kinase assay indicated that caveolin-1 inhibited NGF induced TrkA autophosphorylation .",0
"They also demonstrated that TrkA interacted with caveolin-1 , as did p75 NTR , and an in vitro kinase assay indicated that caveolin-1 inhibited NGF induced TrkA autophosphorylation .",0
The RA domain of Nore1 binds to Ras-GTP ( active Ras ) with strong preference over Ras-GDP ( inactive Ras ) in vitro and endogenous Nore1 binds endogenous Ras in vivo in response to EGF or serum stimulation     .,0
